rank_index,singular_value,variance_share,cumulative_variance
1,4.785661841324191,0.005744889158458512,0.005744889158458512
2,4.770764328812868,0.005709177756005374,0.011454066914463885
3,4.738266810104185,0.005631663048904319,0.017085729963368206
4,4.725194218350977,0.0056006310797412084,0.022686361043109414
5,4.7085672481468945,0.005561285527281714,0.028247646570391128
6,4.700796380502637,0.005542944341808267,0.033790590912199395
7,4.6909943606068225,0.00551985233773198,0.039310443249931375
8,4.674103084300996,0.005480172269976112,0.044790615519907484
9,4.656578594347756,0.005439155977755719,0.0502297714976632
10,4.639273451619624,0.0053988042600434175,0.05562857575770662
11,4.634817812465176,0.005388439028323929,0.06101701478603055
12,4.625038474019411,0.0053657241004925575,0.0663827388865231
13,4.601368565556115,0.005310943495139195,0.0716936823816623
14,4.595553107713509,0.005297527464609531,0.07699120984627182
15,4.577348192995094,0.005255639138331834,0.08224684898460366
16,4.57436058675916,0.005248780732383538,0.0874956297169872
17,4.564188130849268,0.0052254622283238366,0.09272109194531103
18,4.551508324899191,0.005196468764670755,0.09791756070998178
19,4.5465436419552,0.00518513856482576,0.10310269927480754
20,4.53411284991953,0.005156823752563426,0.10825952302737096
21,4.52476769458754,0.005135588438148752,0.11339511146551971
22,4.509679369782623,0.005101395199264624,0.11849650666478434
23,4.48983745084504,0.005056603194326287,0.12355310985911062
24,4.484914102329414,0.005045519599198781,0.1285986294583094
25,4.473650147708574,0.005020207571140323,0.13361883702944974
26,4.471024099594823,0.005014315542544261,0.138633152571994
27,4.4610749265464635,0.004992024101106712,0.1436251766731007
28,4.450675690983341,0.0049687773599921,0.1485939540330928
29,4.43884266754626,0.00494239147931109,0.1535363455124039
30,4.433131117558442,0.004929680709017061,0.15846602622142095
31,4.4301669190793564,0.004923090483573535,0.16338911670499448
32,4.4269171730813435,0.0049158704731600365,0.1683049871781545
33,4.42151771456229,0.004903886128049188,0.1732088733062037
34,4.411262174436124,0.004881163760290791,0.17809003706649448
35,4.403162808560716,0.004863255943515652,0.18295329301001015
36,4.394051274614909,0.004843149544515493,0.18779644255452566
37,4.387811586360471,0.004829404467384355,0.19262584702191002
