rank_index,singular_value,variance_share,cumulative_variance
1,11.4554443359375,0.21062862873077393,0.21062862873077393
2,7.186863422393799,0.08290339261293411,0.29353201389312744
3,6.820378303527832,0.07466386258602142,0.36819589138031006
4,5.501363277435303,0.04857739061117172,0.4167732894420624
5,5.318898677825928,0.04540847986936569,0.46218177676200867
6,4.375942230224609,0.03073524497449398,0.4929170310497284
7,3.9824275970458984,0.02545594982802868,0.5183729529380798
8,3.7837846279144287,0.02297980524599552,0.5413527488708496
9,3.5520238876342773,0.020250944420695305,0.5616036653518677
10,3.3486907482147217,0.01799880340695381,0.5796024799346924
11,3.0750811100006104,0.015177725814282894,0.5947802066802979
12,2.9612038135528564,0.014074408449232578,0.6088545918464661
13,2.773878335952759,0.012350039556622505,0.6212046146392822
14,2.6938631534576416,0.011647818610072136,0.6328524351119995
15,2.5401275157928467,0.01035629864782095,0.6432087421417236
16,2.4873263835906982,0.009930224157869816,0.6531389951705933
17,2.3879101276397705,0.009152283892035484,0.6622912883758545
18,2.280132532119751,0.008344757370650768,0.6706360578536987
19,2.2635133266448975,0.008223555982112885,0.6788595914840698
20,2.133547306060791,0.007306309416890144,0.6861659288406372
21,2.100478410720825,0.007081577088683844,0.6932474970817566
22,2.0577855110168457,0.006796631962060928,0.7000441551208496
23,1.9818717241287231,0.0063044121488928795,0.7063485383987427
24,1.9656879901885986,0.0062018707394599915,0.7125504016876221
25,1.889412522315979,0.005729901138693094,0.7182803153991699
26,1.8671696186065674,0.005595785565674305,0.7238761186599731
27,1.8184330463409424,0.005307477433234453,0.7291836142539978
28,1.7980891466140747,0.0051893857307732105,0.7343729734420776
29,1.7643057107925415,0.004996215924620628,0.7393692135810852
30,1.7285488843917847,0.00479575339704752,0.7441649436950684
31,1.7006133794784546,0.004641995299607515,0.7488069534301758
32,1.6396676301956177,0.004315242171287537,0.7531222105026245
33,1.629265546798706,0.004260663874447346,0.757382869720459
34,1.5859971046447754,0.004037367645651102,0.7614202499389648
35,1.5598653554916382,0.003905419958755374,0.765325665473938
36,1.535422444343567,0.003783983876928687,0.7691096663475037
37,1.5245893001556396,0.003730776719748974,0.7728404402732849
38,1.5190633535385132,0.003703781170770526,0.7765442132949829
39,1.5037411451339722,0.0036294404417276382,0.780173659324646
40,1.4860121011734009,0.0035443631932139397,0.7837180495262146
41,1.470231533050537,0.003469484858214855,0.7871875166893005
42,1.4407373666763306,0.0033316791523247957,0.7905191779136658
43,1.4247872829437256,0.0032583188731223345,0.7937775254249573
44,1.4071149826049805,0.003177991369739175,0.7969555258750916
45,1.3971437215805054,0.0031331104692071676,0.80008864402771
46,1.3706870079040527,0.003015574999153614,0.8031042218208313
47,1.3437260389328003,0.002898111008107662,0.8060023188591003
48,1.3312132358551025,0.0028443876653909683,0.8088467121124268
